2022-12-03 08:31:06,611 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/agata.py--------------------------------
2022-12-03 08:31:06,615 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/argo.py--------------------------------
2022-12-03 08:31:06,620 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/etalina.py--------------------------------
2022-12-03 08:31:06,626 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/fiorita.py--------------------------------
2022-12-03 08:31:06,631 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/guinda.py--------------------------------
2022-12-03 08:31:06,639 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/janeli.py--------------------------------
2022-12-03 08:31:06,647 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/jetty.py--------------------------------
2022-12-03 08:31:06,654 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/kurtki.py--------------------------------
2022-12-03 08:31:06,661 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/lcraft.py--------------------------------
2022-12-03 08:31:06,667 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/sumkistyle.py--------------------------------
2022-12-03 08:31:06,682 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/bossanova.py--------------------------------
2022-12-03 08:31:06,689 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/siniylen.py--------------------------------
2022-12-03 08:31:06,703 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/clevermedia.py--------------------------------
2022-12-03 08:31:06,715 - const.CONSTANTS - INFO - -------python C:\Users\noitu\work\PycharmProjects\ScriptGUI/scripts/rash.py--------------------------------
2022-12-03 08:31:07,820 - const.CONSTANTS - INFO - (2, '√»Õƒ¿')
2022-12-03 08:31:07,821 - const.CONSTANTS - ERROR - ('error:', 'UNKNOWN ERROR!! state is: 2')
2022-12-03 08:31:07,822 - const.CONSTANTS - INFO - (0, 'ƒ∆≈“»')
2022-12-03 08:31:07,822 - const.CONSTANTS - INFO - ('DONE DONE DONE', 'ƒ∆≈“»')
2022-12-03 08:31:07,847 - const.CONSTANTS - INFO - (0, '¿√¿“¿')
2022-12-03 08:31:07,847 - const.CONSTANTS - INFO - ('DONE DONE DONE', '¿√¿“¿')
2022-12-03 08:31:07,869 - const.CONSTANTS - INFO - (0, '¡Œ——¿ ÕŒ¬¿')
2022-12-03 08:31:07,870 - const.CONSTANTS - INFO - ('DONE DONE DONE', '¡Œ——¿ ÕŒ¬¿')
2022-12-03 08:31:07,880 - const.CONSTANTS - INFO - (2, '¿–√Œ')
2022-12-03 08:31:07,881 - const.CONSTANTS - ERROR - ('error:', 'UNKNOWN ERROR!! state is: 2')
2022-12-03 08:31:08,007 - const.CONSTANTS - INFO - (0, ' ”–“ »')
2022-12-03 08:31:08,007 - const.CONSTANTS - INFO - ('DONE DONE DONE', ' ”–“ »')
2022-12-03 08:31:08,023 - const.CONSTANTS - INFO - (0, '‘»Œ–»“¿')
2022-12-03 08:31:08,024 - const.CONSTANTS - INFO - ('DONE DONE DONE', '‘»Œ–»“¿')
2022-12-03 08:31:08,091 - const.CONSTANTS - INFO - (0, '›“¿À»Õ¿')
2022-12-03 08:31:08,091 - const.CONSTANTS - INFO - ('DONE DONE DONE', '›“¿À»Õ¿')
2022-12-03 08:31:08,094 - const.CONSTANTS - INFO - (0, '—”Ã » —“»À‹')
2022-12-03 08:31:08,095 - const.CONSTANTS - INFO - ('DONE DONE DONE', '—”Ã » —“»À‹')
2022-12-03 08:31:08,110 - const.CONSTANTS - INFO - (0, '∆¿Õ≈À»')
2022-12-03 08:31:08,110 - const.CONSTANTS - INFO - ('DONE DONE DONE', '∆¿Õ≈À»')
2022-12-03 08:31:08,117 - const.CONSTANTS - INFO - (0, ' À≈¬≈– Ã≈ƒ»¿')
2022-12-03 08:31:08,118 - const.CONSTANTS - INFO - ('DONE DONE DONE', ' À≈¬≈– Ã≈ƒ»¿')
2022-12-03 08:31:08,122 - const.CONSTANTS - INFO - (0, 'À –¿‘“')
2022-12-03 08:31:08,122 - const.CONSTANTS - INFO - ('DONE DONE DONE', 'À –¿‘“')
2022-12-03 08:31:08,150 - const.CONSTANTS - INFO - (0, '—»Õ»… À≈Õ')
2022-12-03 08:31:08,150 - const.CONSTANTS - INFO - ('DONE DONE DONE', '—»Õ»… À≈Õ')
2022-12-03 08:31:08,174 - const.CONSTANTS - INFO - (0, '–¿ÿ')
2022-12-03 08:31:08,174 - const.CONSTANTS - INFO - ('DONE DONE DONE', '–¿ÿ')
